T,ΔF (negative),|ΔF|
0.001,-0.010799822115912355,0.010799822115912355
0.001276093078115092,-0.012202337804778774,0.012202337804778774
0.0016284135440132498,-0.013787737566781456,0.013787737566781456
0.0020780072518241715,-0.01558019828546558,0.01558019828546558
0.00265173067032579,-0.01760723766671215,0.01760723766671215
0.003383855153428233,-0.019900238638381248,0.019900238638381248
0.0043181141386338506,-0.022495082147111965,0.022495082147111965
0.005510315562821569,-0.02543292033898188,0.02543292033898188
0.007031675547946471,-0.028761134252596594,0.028761134252596594
0.008973072494285637,-0.032534537464642285,0.032534537464642285
0.011450475699382819,-0.03681691192308522,0.03681691192308522
0.014611872781107479,-0.04168299787128117,0.04168299787128117
0.01864610971426956,-0.04722111129748503,0.04722111129748503
0.023794171540153963,-0.053536637135598995,0.053536637135598995
0.030363577601873585,-0.06075675555421461,0.06075675555421461
0.0387467512045613,-0.0690369188258588,0.0690369188258588
0.049444461011588274,-0.07856983313396794,0.07856983313396794
0.06309573444801933,-0.08959805343297714,0.08959805343297714
